Date,Dividends
2000-03-24 10:00:00+02:00,2.7
2001-04-03 10:00:00+03:00,0.6
2002-03-14 10:00:00+02:00,0.6
2003-03-18 10:00:00+02:00,0.6
2004-03-16 10:00:00+02:00,0.3
2005-03-15 10:00:00+02:00,0.12
2006-03-14 10:00:00+02:00,0.12
2007-03-14 10:00:00+02:00,0.06
2008-03-14 10:00:00+02:00,0.06
2013-03-27 10:00:00+02:00,0.06
2014-04-03 10:00:00+03:00,0.09
2015-03-26 10:00:00+02:00,0.12
2016-03-24 10:00:00+02:00,0.17
2017-03-24 10:00:00+02:00,0.19
2018-03-28 10:00:00+03:00,0.21
2019-03-29 10:00:00+02:00,0.29
2020-06-12 10:00:00+03:00,0.24
2021-03-26 10:00:00+02:00,0.26
2022-03-25 10:00:00+02:00,0.41
2023-03-24 10:00:00+02:00,0.58
2024-03-27 10:00:00+02:00,0.25
2025-03-21 10:00:00+02:00,0.07
